id,waterway,name,lat,lon
72236437,canal,Unnamed Waterway,0,0
72236440,canal,Unnamed Waterway,0,0
72236442,canal,Unnamed Waterway,0,0
72236908,canal,Unnamed Waterway,0,0
72236946,stream,Unnamed Waterway,0,0
72237157,canal,Unnamed Waterway,0,0
72237888,canal,Unnamed Waterway,0,0
72238079,canal,Unnamed Waterway,0,0
72238087,canal,Unnamed Waterway,0,0
72238317,canal,Unnamed Waterway,0,0
72239647,stream,Unnamed Waterway,0,0
72299965,canal,Unnamed Waterway,0,0
72299992,canal,Unnamed Waterway,0,0
72300072,canal,Unnamed Waterway,0,0
72300075,stream,Unnamed Waterway,0,0
72300085,stream,Unnamed Waterway,0,0
72341876,river,Gadar River,0,0
72343828,river,Unnamed Waterway,0,0
72343840,river,Unnamed Waterway,0,0
72359993,stream,harnoi,0,0
72368861,river,Unnamed Waterway,0,0
72368863,stream,Unnamed Waterway,0,0
72368865,stream,Unnamed Waterway,0,0
72368867,stream,Unnamed Waterway,0,0
72368927,stream,Unnamed Waterway,0,0
